Created.Date,Agency.Name,Complaint.Type,Descriptor,Location.Type,Incident.Zip,Incident.Address,Borough,Latitude,Longitude,location,complain
1/14/13 15:01,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10026,,MANHATTAN,40.80236293,-73.95258891,3,2
11/4/13 9:10,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11362,52-18 OVERBROOK STREET,QUEENS,40.76029502,-73.73706784,3,5
12/4/13 0:00,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11210,3101 FOSTER AVENUE,BROOKLYN,40.63866878,-73.94741581,1,4
10/4/13 20:43,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,11217,320 BERGEN ST,BROOKLYN,40.68295261,-73.98152166,0,5
7/17/13 16:23,Department of Transportation,Highway Condition,Pothole - Highway,Highway,,,BRONX,NA,NA,3,5
10/12/13 15:13,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11105,35-13 23 AVENUE,QUEENS,40.77297783,-73.91089882,3,3
3/25/13 0:00,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10039,700 ESPLANADE GDNS PLAZA,MANHATTAN,40.82053329,-73.93614411,1,1
4/26/13 8:08,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11225,,BROOKLYN,40.66408306,-73.94816714,3,3
4/15/13 17:36,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11373,42-51 DENMAN STREET,QUEENS,40.7454912,-73.8722119,0,2
1/28/13 0:00,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11221,1187 GREENE AVENUE,BROOKLYN,40.69534787,-73.922189,1,1
12/10/13 19:59,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10026,2110 FREDERICK DOUGLASS BOULEVARD,MANHATTAN,40.80325091,-73.95620755,3,3
3/28/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,1440 BOSTON ROAD,BRONX,40.83370611,-73.8959435,1,1
11/11/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11373,89-21 ELMHURST AVENUE,QUEENS,40.74742033,-73.87685301,1,1
12/9/13 15:21,Department of Environmental Protection,Water System,Dirty Water (WE),,11219,6205 FORT HAMILTON PARKWAY,BROOKLYN,40.63201623,-74.00714431,0,1
3/18/13 12:41,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11214,1652 BATH AVENUE,BROOKLYN,40.60560571,-74.00902859,3,2
9/20/13 0:00,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10458,2424 BEAUMONT AVENUE,BRONX,40.85479342,-73.8841261,1,4
12/13/13 0:00,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11222,100 INDIA STREET,BROOKLYN,40.73215392,-73.9563084,1,1
2/18/13 11:18,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11415,123-60 83 AVENUE,QUEENS,40.71151735,-73.82664025,0,5
2/26/13 14:18,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,,,Unspecified,NA,NA,0,4
2/7/13 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,11367,68-01 150 STREET,QUEENS,40.73240815,-73.81974833,1,2
5/15/13 14:14,Department of Transportation,Street Light Condition,Street Light Out,,,,MANHATTAN,NA,NA,0,2
7/5/13 17:06,Department of Environmental Protection,Water System,Hydrant Locking Device Request (Use Comments) (WC5),,10040, BROADWAY TERRACE,MANHATTAN,40.85741386,-73.93119232,0,1
4/25/13 21:24,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11434,114-23 166 STREET,QUEENS,40.68950982,-73.7829724,3,3
9/29/13 0:00,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11237,101 WILSON AVENUE,BROOKLYN,40.70150487,-73.92711916,1,1
9/16/13 10:11,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11234,1931 EAST 34 STREET,BROOKLYN,40.6098525,-73.93395058,3,5
